ID_c,N_c,N_clg,N_c_clg,Y_clg,Y_c,C_clg,C_c,ID_s,SQM,CA,VAR,SI,HAR,LAT,VC_c_2d,VC_c_3d,AVG(UTCI)_8:00,AVG(UTCI)_9:00,AVG(UTCI)_10:00,AVG(UTCI)_11:00,AVG(UTCI)_12:00,AVG(UTCI)_13:00,AVG(UTCI)_14:00,AVG(UTCI)_15:00,AVG(UTCI)_16:00,AVG(UTCI)_17:00,AVG(UTCI)_18:00,AVG(UTCI)_19:00,AVG(UTCI)_20:00,AVG(UTCI)_21:00,AVG(UTCI)_22:00,AVG(UTCI)_23:00,AVG(UTCI)_0:00,AVG(UTCI)_1:00,AVG(UTCI)_2:00,AVG(UTCI)_3:00,AVG(UTCI)_4:00,AVG(UTCI)_5:00,AVG(UTCI)_6:00,AVG(UTCI)_7:00
1,First,Christs,First_Christs,1437,1448,1400s,1400s,CE_01,150*150,1317.567,1.350,1.003,0.980,43.703,0.479,0.021,-0.390632,1.438044,5.152425,8.634495,9.916995,10.070845,8.419035,6.481058,3.78435,2.705901,1.907556,1.334399,0.434401,-0.542125,-0.685729,-1.102088,-1.226268,-1.460204,-1.430023,-1.429644,-1.986682,-2.360799,-2.684133,-2.521483
2,Front,Emmanuel,Front_Emmanuel,1584,1634,1500s,1600s,CE_02,150*150,1344.268,1.433,1.005,1.266,62.415,0.518,0.000,-0.224987,1.547681,5.352391,7.729077,8.820478,9.170169,8.49094,6.634058,3.932426,2.852942,2.04913,1.470526,0.627599,-0.341104,-0.514766,-0.995529,-1.145102,-1.252977,-1.357123,-1.358328,-1.875486,-2.206832,-2.6054,-2.409405
3,New,Emmanuel,New_Emmanuel,1584,1824,1500s,1800s,CE_02,150*150,747.716,1.864,1.004,1.288,61.821,0.298,0.000,0.003403,1.71821,5.508251,7.924246,9.052887,9.439952,8.711775,6.78095,4.026701,2.95791,2.155369,1.581765,0.803351,-0.186179,-0.431555,-0.866934,-0.981863,-1.090648,-1.182962,-1.217624,-1.655991,-1.968984,-2.478702,-2.323405
4,Cloister,Sidney_Sussex,Cloister_Sidney_Sussex,1596,1891,1500s,1800s,CE_03,180*180,1485.053,2.518,1.015,1.096,152.890,0.849,0.694,0.494434,2.241886,5.735172,8.335047,9.446413,9.380395,8.887055,7.214877,4.688094,3.716287,2.927951,2.383008,1.380974,0.410391,0.393119,-0.093865,-0.266299,-0.688802,-0.374352,-0.374214,-0.991934,-1.392438,-1.576561,-1.431246
5,Hall,Sidney_Sussex,Hall_Sidney_Sussex,1596,1596,1500s,1500s,CE_03,180*180,615.296,3.031,1.002,0.998,152.684,0.504,0.000,0.028877,1.71698,5.266684,7.599008,8.598842,8.917209,8.352893,6.646341,4.073979,3.044461,2.24389,1.683783,0.805681,-0.174806,-0.302095,-0.749681,-0.854506,-1.117273,-1.041096,-1.035682,-1.583539,-1.959684,-2.326001,-2.195141
6,Chapel,Sidney_Sussex,Chapel_Sidney_Sussex,1596,1596,1500s,1500s,CE_03,180*180,530.760,3.875,1.003,1.089,59.579,0.510,0.000,0.024419,1.717703,5.275236,7.769187,8.907668,9.116336,8.351996,6.658978,4.08346,3.043381,2.250817,1.686495,0.769846,-0.186674,-0.284763,-0.778456,-0.89237,-1.12285,-1.103799,-1.081166,-1.628404,-1.997378,-2.362895,-2.213641
7,South,Sidney_Sussex,South_Sidney_Sussex,1596,1910,1500s,1900s,CE_03,180*180,592.153,6.130,1.528,1.098,38.911,0.232,0.000,0.073577,1.76261,5.420893,7.74334,8.763746,9.144315,8.539882,6.778512,4.054002,3.01737,2.237865,1.678546,0.81197,-0.170455,-0.300484,-0.735086,-0.835913,-0.993233,-1.055205,-1.052913,-1.576038,-1.934233,-2.329919,-2.199054
8,Staff,Sidney_Sussex,Staff_Sidney_Sussex,1596,1596,1500s,1500s,CE_03,180*180,261.006,9.406,1.629,8.062,156.441,0.000,0.000,0.290665,1.951701,5.714852,8.022608,9.094259,9.459743,8.884596,7.07251,4.184915,3.166024,2.379743,1.824227,0.980566,0.037549,-0.057438,-0.59595,-0.715867,-0.959911,-0.957251,-0.948055,-1.492188,-1.853101,-2.205892,-2.083055
9,Cloister,Jesus,Cloister_Jesus,1496,1245,1400s,1200s,CE_04,120*120,338.559,7.112,1.005,1.212,3.395,1.000,0.000,0.125385,1.747326,5.32638,7.701205,8.899711,9.173952,8.414801,6.6723,4.218429,3.208155,2.420169,1.862456,1.049327,0.119459,-0.085438,-0.557418,-0.711669,-0.966996,-0.945392,-0.932577,-1.434675,-1.795027,-2.157713,-1.994044
10,West,Jesus,West_Jesus,1496,2015,1400s,2000s,CE_05,150*150,1175.856,2.047,1.053,1.884,96.593,0.096,0.199,0.266408,1.921612,5.572548,8.099537,9.325942,9.541868,8.714567,6.983583,4.351645,3.252622,2.447043,1.89081,1.224947,0.284007,-0.048806,-0.547714,-0.660609,-0.903661,-0.790483,-0.802255,-1.352855,-1.711372,-1.979899,-1.835048
