ID_c,N_c,N_clg,N_c_clg,Y_clg,Y_c,C_clg,C_c,ID_s,SQM,CA,VAR,SI,HAR,LAT,VC_c_2d,VC_c_3d,AVG(UTCI)_5:00,AVG(UTCI)_6:00,AVG(UTCI)_7:00,AVG(UTCI)_8:00,AVG(UTCI)_9:00,AVG(UTCI)_10:00,AVG(UTCI)_11:00,AVG(UTCI)_12:00,AVG(UTCI)_13:00,AVG(UTCI)_14:00,AVG(UTCI)_15:00,AVG(UTCI)_16:00,AVG(UTCI)_17:00,AVG(UTCI)_18:00,AVG(UTCI)_19:00,AVG(UTCI)_20:00,AVG(UTCI)_21:00,AVG(UTCI)_22:00,AVG(UTCI)_23:00,AVG(UTCI)_0:00,AVG(UTCI)_1:00,AVG(UTCI)_2:00,AVG(UTCI)_3:00,AVG(UTCI)_4:00
1,First,Christs,First_Christs,1437,1448,1400s,1400s,CE_01,150*150,1317.567,1.350,1.003,0.980,43.703,0.479,0.021,16.410161,19.802441,25.434173,30.345521,33.311503,35.501429,36.974541,37.515614,38.391625,39.443233,38.573356,37.123717,33.812189,30.350521,27.360791,25.681302,21.082051,19.807249,18.726263,18.065974,17.741724,17.45644,16.796513,16.158976
2,Front,Emmanuel,Front_Emmanuel,1584,1634,1500s,1600s,CE_02,150*150,1344.268,1.433,1.005,1.266,62.415,0.518,0.000,16.520049,19.34217,24.846385,29.426517,32.344936,34.857196,36.63725,37.751075,38.362943,39.185363,38.377525,37.01313,33.327708,29.894579,27.403058,25.762867,21.384255,19.987636,18.909894,18.241049,17.848552,17.574559,16.93898,16.298553
3,New,Emmanuel,New_Emmanuel,1584,1824,1500s,1800s,CE_02,150*150,747.716,1.864,1.004,1.288,61.821,0.298,0.000,16.502101,19.498345,24.498182,29.009186,32.615166,35.15433,37.160423,38.413946,38.973843,39.317681,37.994513,36.409605,32.951403,29.935728,27.517818,25.662464,21.461207,20.04784,18.995247,18.333488,17.932951,17.643419,17.021382,16.372412
4,Cloister,Sidney_Sussex,Cloister_Sidney_Sussex,1596,1891,1500s,1800s,CE_03,180*180,1485.053,2.518,1.015,1.096,152.890,0.849,0.694,17.081856,19.342231,23.228953,27.52246,30.087593,32.556695,34.080264,35.083557,36.088519,36.447737,35.572123,34.388521,31.640058,29.256001,27.364856,25.972603,21.252943,20.163368,19.251322,18.602353,18.317997,18.050225,17.42535,16.80931
5,Hall,Sidney_Sussex,Hall_Sidney_Sussex,1596,1596,1500s,1500s,CE_03,180*180,615.296,3.031,1.002,0.998,152.684,0.504,0.000,16.551199,19.13964,23.361961,27.734413,30.913398,33.624624,35.734299,37.101015,38.339662,39.218526,38.26635,36.273795,32.333257,29.563595,27.235988,25.641667,21.298604,19.962537,18.878226,18.232508,17.880594,17.603056,16.961814,16.329549
6,Chapel,Sidney_Sussex,Chapel_Sidney_Sussex,1596,1596,1500s,1500s,CE_03,180*180,530.760,3.875,1.003,1.089,59.579,0.510,0.000,16.569196,19.160959,23.379278,27.645901,30.837875,33.706924,35.921023,37.054447,38.133003,39.163575,38.655539,37.480626,32.986792,29.590354,27.26592,25.658817,21.329881,19.985685,18.879828,18.234734,17.889378,17.60318,16.962824,16.328886
7,South,Sidney_Sussex,South_Sidney_Sussex,1596,1910,1500s,1900s,CE_03,180*180,592.153,6.130,1.528,1.098,38.911,0.232,0.000,16.449173,19.299002,23.3132,26.974296,29.937173,33.186728,35.11494,37.36909,37.936155,38.665273,37.217644,35.758175,32.272829,29.674252,27.274294,25.484341,21.238044,19.912226,18.922154,18.272958,17.896542,17.599475,16.97228,16.337643
8,Staff,Sidney_Sussex,Staff_Sidney_Sussex,1596,1596,1500s,1500s,CE_03,180*180,261.006,9.406,1.629,8.062,156.441,0.000,0.000,16.435056,19.408011,23.275518,26.966765,29.934107,32.865337,35.316267,37.078105,38.020293,39.287613,36.850871,34.986612,32.049406,29.876426,27.357066,25.394153,21.309352,20.015109,18.931961,18.306778,17.920903,17.617017,17.009706,16.372347
9,Cloister,Jesus,Cloister_Jesus,1496,1245,1400s,1200s,CE_04,120*120,338.559,7.112,1.005,1.212,3.395,1.000,0.000,16.679955,19.356972,23.266426,27.880034,30.921396,33.324903,35.570224,36.618784,37.257803,36.985294,35.554129,34.079675,31.077599,29.014374,26.974331,25.677003,21.45101,20.046683,19.023448,18.361192,17.97865,17.689726,17.055475,16.418962
10,West,Jesus,West_Jesus,1496,2015,1400s,2000s,CE_05,150*150,1175.856,2.047,1.053,1.884,96.593,0.096,0.199,16.659157,19.305029,24.995815,29.300272,32.429713,34.908016,36.78688,37.951535,38.381145,38.278814,36.743543,35.321111,33.100658,29.873034,27.441984,25.699143,21.184549,19.883686,19.002492,18.343829,18.0052,17.846386,17.195502,16.585387
