ID_c,N_c,N_clg,N_c_clg,Y_clg,Y_c,C_clg,C_c,ID_s,SQM,CA,VAR,SI,HAR,LAT,VC_c_2d,VC_c_3d,SD(UTCI)_8:00,SD(UTCI)_9:00,SD(UTCI)_10:00,SD(UTCI)_11:00,SD(UTCI)_12:00,SD(UTCI)_13:00,SD(UTCI)_14:00,SD(UTCI)_15:00,SD(UTCI)_16:00,SD(UTCI)_17:00,SD(UTCI)_18:00,SD(UTCI)_19:00,SD(UTCI)_20:00,SD(UTCI)_21:00,SD(UTCI)_22:00,SD(UTCI)_23:00,SD(UTCI)_0:00,SD(UTCI)_1:00,SD(UTCI)_2:00,SD(UTCI)_3:00,SD(UTCI)_4:00,SD(UTCI)_5:00,SD(UTCI)_6:00,SD(UTCI)_7:00
1,First,Christs,First_Christs,1437,1448,1400s,1400s,CE_01,150*150,1317.567,1.350,1.003,0.980,43.703,0.479,0.021,0.136897,0.135363,0.172098,2.934599,3.043287,2.815807,0.784918,0.172252,0.164759,0.160692,0.157327,0.155997,0.139239,0.142957,0.142332,0.137949,0.137264,0.130069,0.144347,0.14588,0.143365,0.138434,0.13985,0.14881
2,Front,Emmanuel,Front_Emmanuel,1584,1634,1500s,1600s,CE_02,150*150,1344.268,1.433,1.005,1.266,62.415,0.518,0.000,0.108351,0.105843,0.141339,0.180159,0.23325,0.263961,0.225893,0.143824,0.118928,0.121747,0.11818,0.116859,0.105633,0.11514,0.106476,0.10499,0.107083,0.112652,0.114103,0.115697,0.111444,0.109291,0.10659,0.112158
3,New,Emmanuel,New_Emmanuel,1584,1824,1500s,1800s,CE_02,150*150,747.716,1.864,1.004,1.288,61.821,0.298,0.000,0.167646,0.158849,0.204097,0.210736,0.221135,0.244565,0.233821,0.198171,0.152194,0.15303,0.154063,0.154939,0.158331,0.158814,0.150647,0.14972,0.148285,0.167158,0.149905,0.145877,0.146207,0.148324,0.143638,0.142505
4,Cloister,Sidney_Sussex,Cloister_Sidney_Sussex,1596,1891,1500s,1800s,CE_03,180*180,1485.053,2.518,1.015,1.096,152.890,0.849,0.694,0.254439,0.259479,0.22112,0.777057,0.883852,0.241798,0.235305,0.274583,0.321423,0.315374,0.304507,0.304111,0.299347,0.315239,0.361682,0.262436,0.257932,0.286104,0.282289,0.28316,0.267255,0.261471,0.286229,0.315714
5,Hall,Sidney_Sussex,Hall_Sidney_Sussex,1596,1596,1500s,1500s,CE_03,180*180,615.296,3.031,1.002,0.998,152.684,0.504,0.000,0.169101,0.154741,0.160866,0.18276,0.19911,0.218421,0.202598,0.163648,0.193986,0.186585,0.182293,0.181731,0.188285,0.188385,0.176567,0.172377,0.173104,0.17721,0.185284,0.182308,0.174932,0.171977,0.181405,0.18682
6,Chapel,Sidney_Sussex,Chapel_Sidney_Sussex,1596,1596,1500s,1500s,CE_03,180*180,530.760,3.875,1.003,1.089,59.579,0.510,0.000,0.193309,0.174662,0.166648,1.461681,1.636975,1.489343,0.20147,0.175757,0.216308,0.211346,0.20825,0.207875,0.208089,0.213795,0.20644,0.196564,0.197277,0.204062,0.209342,0.207335,0.201767,0.199046,0.202975,0.210132
7,South,Sidney_Sussex,South_Sidney_Sussex,1596,1910,1500s,1900s,CE_03,180*180,592.153,6.130,1.528,1.098,38.911,0.232,0.000,0.120715,0.116458,0.137046,0.142461,0.131319,0.14675,0.142947,0.122293,0.141911,0.12954,0.124291,0.122784,0.124096,0.119034,0.117869,0.108567,0.105475,0.101938,0.106914,0.111897,0.10954,0.106908,0.11134,0.119431
8,Staff,Sidney_Sussex,Staff_Sidney_Sussex,1596,1596,1500s,1500s,CE_03,180*180,261.006,9.406,1.629,8.062,156.441,0.000,0.000,0.063646,0.063476,0.100539,0.094032,0.076177,0.076369,0.086313,0.080554,0.050425,0.050032,0.051175,0.052451,0.052558,0.057144,0.063486,0.05306,0.052685,0.044312,0.056591,0.056825,0.053725,0.051795,0.055188,0.052469
9,Cloister,Jesus,Cloister_Jesus,1496,1245,1400s,1200s,CE_04,120*120,338.559,7.112,1.005,1.212,3.395,1.000,0.000,0.049779,0.029073,0.055688,0.131506,0.175046,0.154709,0.083765,0.022785,0.071803,0.056802,0.048748,0.046213,0.063105,0.071011,0.039037,0.050841,0.061411,0.073913,0.049908,0.055241,0.056794,0.058742,0.049039,0.057164
10,West,Jesus,West_Jesus,1496,2015,1400s,2000s,CE_05,150*150,1175.856,2.047,1.053,1.884,96.593,0.096,0.199,0.298906,0.277606,0.27066,0.260111,0.620374,0.532323,0.26939,0.279406,0.302822,0.305237,0.303474,0.305416,0.311692,0.310002,0.289822,0.295617,0.300383,0.303872,0.300976,0.299293,0.299395,0.300336,0.292943,0.294258
11,Whewell_W,Trinity,Whewell_W_Trinity,1546,1860,1500s,1800s,CC_06,180*180,160.832,6.688,1.078,1.900,71.928,0.000,0.000,0.024761,0.021727,0.023937,0.020876,0.034006,0.034083,0.025934,0.022225,0.035305,0.034117,0.032776,0.032519,0.034122,0.034355,0.035708,0.037573,0.038147,0.040103,0.040147,0.040757,0.040966,0.04106,0.040685,0.042291
12,Whewell_E,Trinity,Whewell_E_Trinity,1546,1860,1500s,1800s,CC_06,180*180,704.317,3.208,1.031,1.667,51.590,0.000,0.000,0.101174,0.093227,0.113356,0.096954,0.092499,0.090672,0.10477,0.105434,0.067481,0.075475,0.079475,0.081162,0.085078,0.084981,0.07934,0.080059,0.078304,0.083175,0.073539,0.069382,0.070364,0.070724,0.070413,0.06772
13,Corfield_S,St_Johns,Corfield_S_St_Johns,1511,1879,1500s,1800s,CC_06,180*180,376.404,4.445,1.401,1.947,119.066,0.000,0.000,0.368021,0.322934,0.14657,0.139699,0.186158,0.244737,0.187273,0.166413,0.161665,0.148175,0.151716,0.152146,0.56668,0.349305,0.171969,0.169291,0.164857,0.154238,0.155372,0.182933,0.192418,0.182779,0.181412,0.170201
14,Corfield_N,St_Johns,Corfield_N_St_Johns,1511,1879,1500s,1800s,CC_06,180*180,409.501,6.769,2.192,0.870,44.883,0.118,0.000,0.160272,0.15246,0.216994,0.236098,0.233689,0.245051,0.249986,0.195281,0.115718,0.127279,0.133264,0.136447,0.129695,0.132887,0.141217,0.144255,0.1392,0.13931,0.139846,0.128706,0.127332,0.127481,0.139848,0.136694
15,St_Michael,Gonville_Caius,St_Michael_Gonville_Caius,1348,1903,1300s,1900s,CC_07,150*150,1156.548,4.038,1.966,0.361,42.350,0.385,0.049,0.295903,0.254372,0.211443,0.664709,0.218806,0.194206,0.241598,0.225387,0.286017,0.278866,0.27688,0.278153,0.370144,0.334949,0.278116,0.23298,0.21997,0.238479,0.30975,0.289395,0.24736,0.230849,0.278442,0.271401
