ID_c,N_c,N_clg,N_c_clg,Y_clg,Y_c,C_clg,C_c,ID_s,SQM,CA,VAR,SI,HAR,LAT,VC_c_2d,VC_c_3d,SD(UTCI)_5:00,SD(UTCI)_6:00,SD(UTCI)_7:00,SD(UTCI)_8:00,SD(UTCI)_9:00,SD(UTCI)_10:00,SD(UTCI)_11:00,SD(UTCI)_12:00,SD(UTCI)_13:00,SD(UTCI)_14:00,SD(UTCI)_15:00,SD(UTCI)_16:00,SD(UTCI)_17:00,SD(UTCI)_18:00,SD(UTCI)_19:00,SD(UTCI)_20:00,SD(UTCI)_21:00,SD(UTCI)_22:00,SD(UTCI)_23:00,SD(UTCI)_0:00,SD(UTCI)_1:00,SD(UTCI)_2:00,SD(UTCI)_3:00,SD(UTCI)_4:00
1,First,Christs,First_Christs,1437,1448,1400s,1400s,CE_01,150*150,1317.567,1.350,1.003,0.980,43.703,0.479,0.021,0.958528,3.714001,2.730902,0.418484,0.429922,0.356143,0.382035,0.393062,0.399482,0.51867,0.865159,1.186611,2.558737,2.98205,0.258182,0.126872,0.76339,0.600489,0.332757,0.369562,0.201725,0.186392,0.240428,0.202581
2,Front,Emmanuel,Front_Emmanuel,1584,1634,1500s,1600s,CE_02,150*150,1344.268,1.433,1.005,1.266,62.415,0.518,0.000,0.128439,4.061485,4.170062,3.238912,3.203946,2.384465,2.178456,1.648085,1.68931,1.338944,2.231437,2.393308,3.241838,3.14113,0.296678,0.051769,0.385515,0.220277,0.233572,0.248799,0.218899,0.194551,0.200395,0.205984
3,New,Emmanuel,New_Emmanuel,1584,1824,1500s,1800s,CE_02,150*150,747.716,1.864,1.004,1.288,61.821,0.298,0.000,0.065727,3.391461,4.482892,3.879083,3.742684,2.78396,2.864871,2.309925,2.331014,2.699463,3.33344,3.466502,3.676624,2.793928,0.08113,0.036364,0.209949,0.120312,0.138546,0.147084,0.131489,0.125649,0.135749,0.142745
4,Cloister,Sidney_Sussex,Cloister_Sidney_Sussex,1596,1891,1500s,1800s,CE_03,180*180,1485.053,2.518,1.015,1.096,152.890,0.849,0.694,0.707684,1.421015,3.585521,4.022262,3.806387,3.716031,3.373795,3.309692,3.327417,3.618866,3.579307,3.534934,3.496069,2.291393,0.275355,0.39344,0.687027,0.582192,0.535491,0.558859,0.509345,0.506314,0.529577,0.527941
5,Hall,Sidney_Sussex,Hall_Sidney_Sussex,1596,1596,1500s,1500s,CE_03,180*180,615.296,3.031,1.002,0.998,152.684,0.504,0.000,0.072946,3.069551,4.429694,3.779005,3.727341,2.806686,2.574931,1.988443,2.024891,1.566752,2.306645,2.708152,3.58328,3.037491,0.065027,0.044086,0.219525,0.140683,0.186346,0.198369,0.154413,0.133881,0.143869,0.152518
6,Chapel,Sidney_Sussex,Chapel_Sidney_Sussex,1596,1596,1500s,1500s,CE_03,180*180,530.760,3.875,1.003,1.089,59.579,0.510,0.000,0.073208,2.712044,4.471321,3.967319,3.823916,2.71682,2.562838,2.030039,2.057023,1.474855,2.23757,2.360933,3.006066,3.262315,0.063384,0.044283,0.283949,0.148505,0.196472,0.209231,0.169543,0.139295,0.143434,0.148949
7,South,Sidney_Sussex,South_Sidney_Sussex,1596,1910,1500s,1900s,CE_03,180*180,592.153,6.130,1.528,1.098,38.911,0.232,0.000,0.762497,3.021792,3.865439,3.853161,3.908319,3.440806,3.099374,2.629667,2.311245,2.797424,3.446005,3.531571,3.832058,3.314164,0.382215,0.210635,0.940013,0.494441,0.144502,0.155021,0.145914,0.138879,0.148533,0.154408
8,Staff,Sidney_Sussex,Staff_Sidney_Sussex,1596,1596,1500s,1500s,CE_03,180*180,261.006,9.406,1.629,8.062,156.441,0.000,0.000,0.078763,1.536205,3.171368,4.273419,3.686984,3.551532,3.311611,2.92204,2.714299,2.020014,3.49873,3.798824,3.228868,1.191023,0.03007,0.039856,0.155915,0.100855,0.115405,0.123382,0.115802,0.111868,0.123383,0.126301
9,Cloister,Jesus,Cloister_Jesus,1496,1245,1400s,1200s,CE_04,120*120,338.559,7.112,1.005,1.212,3.395,1.000,0.000,0.368857,3.165069,4.483961,2.908553,2.692541,0.079651,1.026134,1.012331,1.053064,1.526188,3.097654,3.234899,3.932873,2.521677,0.053107,0.076732,0.233861,0.160324,0.107209,0.11731,0.043909,0.034085,0.040026,0.038174
10,West,Jesus,West_Jesus,1496,2015,1400s,2000s,CE_05,150*150,1175.856,2.047,1.053,1.884,96.593,0.096,0.199,0.603826,2.628923,4.302912,3.933978,3.833368,3.290135,3.036587,2.802561,2.865522,3.15807,3.372311,3.506022,3.60202,2.896836,0.461942,0.280128,0.616026,0.48386,0.398113,0.421705,0.363452,0.348608,0.368193,0.368998
